Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-08-25,10800.0,11168.95,10410.0,10500.0,10540.85,17188.0,1839.77
2015-08-26,10795.0,11080.0,10202.0,10270.0,10339.6,23858.0,2559.52
2015-08-27,10341.1,10975.0,10341.1,10860.0,10864.95,15378.0,1665.58
2015-08-28,10999.95,11250.0,10916.8,11017.0,11014.55,9926.0,1099.69
2015-08-31,11098.95,11339.95,10601.5,10705.0,10779.7,14527.0,1587.06
2015-09-01,10705.0,11150.95,10705.0,10900.25,10930.7,9042.0,988.56
2015-09-02,11000.0,11175.15,10812.0,10900.05,10897.5,29514.0,3237.94
2015-09-03,11050.0,11050.0,10711.0,10874.95,10876.8,21748.0,2370.64
2015-09-04,10955.0,10955.0,10605.0,10765.5,10804.5,17416.0,1869.0
2015-09-07,10900.0,10970.0,10555.0,10612.0,10648.15,7138.0,762.74
2015-09-08,10700.0,10700.0,10317.3,10450.0,10445.65,7922.0,825.93
2015-09-09,10451.0,10750.0,10451.0,10600.0,10618.45,16512.0,1753.62
2015-09-10,10618.45,11294.95,10475.5,11275.0,11235.8,9933.0,1087.79
2015-09-11,11102.0,11621.8,11102.0,11402.0,11484.25,6996.0,802.4
2015-09-14,11580.0,11585.0,11397.45,11470.0,11498.2,9454.0,1087.58
2015-09-15,11549.95,11670.0,11310.0,11310.0,11491.15,10649.0,1224.54
2015-09-16,11500.0,11650.0,11365.0,11411.2,11497.9,23389.0,2699.57
2015-09-18,11412.0,12500.0,11412.0,12050.0,12046.45,23094.0,2724.74
2015-09-21,12000.0,12550.0,11925.0,11941.0,12055.35,9324.0,1134.28
2015-09-22,12055.35,12180.0,11851.25,11900.0,11938.4,6108.0,733.64
2015-09-23,11949.9,11949.9,11356.5,11423.0,11487.35,8988.0,1048.97
2015-09-24,11430.0,11497.25,11070.05,11150.0,11153.0,7367.0,824.14
2015-09-28,11200.0,11506.95,11200.0,11330.0,11328.9,4404.0,499.87
2015-09-29,11002.0,11599.9,10800.0,11080.0,11173.75,12477.0,1382.81
2015-09-30,11177.6,11973.0,11177.6,11600.0,11740.05,17922.0,2093.56
2015-10-01,11740.0,12140.0,11605.15,12000.0,12017.8,8800.0,1049.18
2015-10-05,12130.0,13199.0,12050.0,13199.0,12597.15,24563.0,3079.32
2015-10-06,12590.0,13121.5,12361.15,12549.0,12566.05,19469.0,2469.58
2015-10-07,12578.75,12798.55,12358.35,12421.15,12488.5,7822.0,979.0
2015-10-08,12694.95,12694.95,12371.65,12398.0,12443.3,5606.0,703.04
2015-10-09,12650.0,12650.0,12405.5,12432.0,12480.75,6135.0,768.07
2015-10-12,12427.6,12679.95,12322.25,12396.1,12404.6,7466.0,927.59
2015-10-13,12500.0,12500.0,12055.0,12200.0,12172.3,9009.0,1099.69
2015-10-14,12275.5,12289.95,11620.1,11850.0,11878.75,10249.0,1218.65
2015-10-15,11919.0,11983.95,11605.1,11850.0,11677.9,11485.0,1349.46
2015-10-16,11839.9,11975.0,11770.9,11820.05,11892.45,5513.0,656.31
2015-10-19,11933.65,12480.0,11820.05,12399.0,12311.35,7747.0,942.64
2015-10-20,12300.0,12930.0,12296.0,12881.0,12852.9,30798.0,3927.81
2015-10-21,12950.0,13097.45,12705.15,12716.15,12832.5,9927.0,1280.01
2015-10-23,12747.5,13360.0,12558.0,12580.0,12642.2,13310.0,1737.48
2015-10-26,12889.8,12939.95,12400.0,12830.0,12738.2,10221.0,1296.13
2015-10-27,12800.0,12800.0,12036.0,12150.0,12181.65,15533.0,1909.9
2015-10-28,12299.9,12650.0,11925.0,12639.0,12220.2,18679.0,2253.87
2015-10-29,12320.0,12750.0,12135.05,12600.0,12577.45,7412.0,922.15
2015-10-30,12400.0,12568.9,12163.5,12200.0,12272.05,6845.0,845.07
2015-11-02,12270.05,12420.0,12000.4,12400.05,12309.0,2762.0,338.06
2015-11-03,12435.85,12845.0,12320.0,12703.1,12725.55,7452.0,943.27
2015-11-04,12720.0,12840.0,12327.05,12389.0,12411.85,4754.0,594.48
2015-11-05,12350.0,12419.15,11801.0,12000.0,11982.4,8134.0,983.23
2015-11-06,12000.05,12180.0,11820.0,12000.0,12000.0,17028.0,2043.53
2015-11-09,11860.05,12195.0,11700.0,11710.0,11792.15,10089.0,1195.82
2015-11-10,11947.9,11950.0,11740.25,11805.0,11814.4,4147.0,490.45
